,,,,,,,,,
,MAHE,ENGINE,T/H,DRIVE,NO,CAPACIT!,PRICEJP,REMARKS,WEIGHT
,TUYOTA,1八2,AT,FF,5921843,Ｇ2000,37.000-,CBA-AHM1O,24
,TUYUTA,1A2,AT,FF,5689438,2000CC,年37.O01,DBAーAHM10,24
,TUYOTA,1八7,AT,FF,4672665,2000セC,-37.000,UA-AHE11,24
,TUYOTA,1八2,AT,FF,48937日1,2000CC,145000,TA一AZRBO,24
,TUYOTA,1八2,AT,FF,4893781,2000CC,737.000,DBAAZRBO,24
,TDYOTA,1八7,AT,FF,5335854,2000CC,137.000,,24
,TUYUTA,1八7,AT,FF,5297918,Ｇ2000CC,-37.000,,24
,TOYOTA,1NZ,AT,FF,E775880,Ｇ1500CC,-123,DBA-HCP141,22
,TOYOTA,1Z,AT,FF,日541923,1500CC,120.000,,22
,TOYOTA,1NZ,AT,FF,380410,G.:1500CC-,120.000,GH-NCP31,221
,TOYOTA,1Z,AT,FF,三204496,G.1500CC,-120.000,,221
,TOYOTA,122,AT,FF,3094703,G.1800CC,155.000,DBAーZHE10,231
,TOYOTA,122,AT,FF,985637,G.1800CC,155.000,CBA一ZNE10,231
,TOYOTA,127,AT,FF,2568494,Ｇ1800CC,155000,,231
,TOYOTA,122,AT,FF,2212331,1800CC,155.000,,231
,TOYOTA,127,AT,FF,2361211,G.1800CC,155000,,231
,TOYOTA,2AZ,AT,FF,F17695,2400,1251000-,DBA-ANA1O,251
,TOYOTA,2AZ,AT,FF,日268582,2400,70.000,DBA-ANH10,251
,TOYOTA,2AZ,AT,FF,H713891,2400,-125.000,,251
_,TOYOTA,2AZ,AT,FF,0755144,G.2400,120.000,UA-AHH10,250
,TOYOTA,2A7,AT,FF,日28794日,G2400,120000,,250
_,TOYOTA,2NR,AT,FF,1214095,G.1500,105.000,DBA一トSP141,220
_,TOYOTA,2NR,AT,FF,8742544,1500CC,：105.000,,220
_,TOYOTA,2ZR,AT,FF,D256871,1800CC,早70.000,DAA-ZVW30,230
_,TOYOTA,22日,AT,FF,P039358,1800,+70.000,,230
-,TOYOTA,2ZR,AT,FF,4950264,1800CC-,70.000,,230
-,TOYOTA,22日,AT,FF,4826815,1800,ギ70.0O0,,230
-,TOYOTA,2ZR,AT,FF,4862753,1800CC,ギ70.000,,230
-,TOYOTA,222,AT,FF,0055707,G..1800CC,120.000,TAーZZT231,230
-,WITSUBISH!,4B11,AT,FF,307433,G.2000CC,,DBAーCV4W,240
-,HONDA,B20E,AT,FF,5861297,G.2000CC,"年70,000",E一RH1,240
-,DAIHATUS,EF,MT,4W口,9319819,Ｇ660,20.00口,TE-S21OP,130
,DAIHATUS,EF,MT,4WD,9159112,G.660,早20.000,GD-S210ド,130
-,DAIHATUS,EF,MT,FR,0238128,660CC,19.000,TE一S2O0F,130
,DAIHATUS,EF,MT,FR,9143635,Ｇ660CG,+19.000,TA-S320G,130
-,DAIHATUS,EF,MT,4WD,6669157,660CG,19.00口,,130
-,DAIHATUS,EF,MT,FR,1401670,G.660,"+19,000",TEーS2OOV,130
-,DAIHATUS,EF,MT,FR,2060877,660CC,年20.000,VーS82ド,130
-,DAIHATUS,EF,MT,4WD,9552995,660CC,19.000,,130
-,DAIHATUS,EF,AT,FR,0079532,Ｇ660CC,"19,000",LE-S2OOF,130
--,DAIHATUS,EF,AT,FR,6238912,660CC,"-19,000",GローS200V,130
-,DAIHATUS,EF,AT,FR,9363071,ロ.660ＣC,-22.000,TA-J131C,130
-,DAIHATUS,EF,MT,4WD,9702910,Ｇ660,-19.000,,130
,DAIHATUS,EF,AT,FR,9506877,Ｇ660CC,-19.000,LEーS320V,130
-,DAIHATUS,EF,AT,4W口,9918172,660,19.000,TA-S330C,130
_,DAIHATUS,EF,AT,FR,0B36734,Ｇ660,19.000,,130
-,DAIHATUS,EF,MT,4WD,9031511,Ｇ660,-19.000,VーS110F,130
-,DAIHATUS,EF,MT,4WD,8676235,Ｇ660,19.000,,130
-,DAIHATUS,EF,MT,FR,0250782,Ｇ660CC,"+19,000",,130
,DAIHATUS,EF,AT,FR,9200862,G.660,"年22,000",,130
-,DAIHATUS,EF,MT,4W口,4521344,660CC,年20.000,,130
,DAIHATUS,EF,AT,FR,6112912,G.66000,20.000,LEーS2OOV,130
,DAIHATUS,EF,MT,FR,1721943,G.660CC,20.000,,130
,SUZUKI,F6A,MT,FR,4291840,G.660CC,26.000,V-DC51T,130
-,SUZUKI,F6A,MT,4WD,5307408,660,2600ロ,M一DB51T,130
,SUZUKI,F6A,MT,4W口,4221943,G.660,年26.000,V-DD51T,130
,SUZUKI,F6A,MT,FR,4311510,G.660CG,27.000,,130
,NISSAN,HR16,AT,FF,1823830,G.16D0,"40,000",DBFーVM20,220
,SUZUKI,K12C,AT,FF,5091247,G.1200CC,"40,000",DAA-MA36S,200
H.,HONDA,K24A,AT,FF,5615773,G.2400,年63.000,AEA一R日1,250
,HONDA,L13Å,AT,FF,1832997,G.1300ＣＧ,45.000,DBA-GDT,210
,HOHDA,L13A,AT,FF,2062203,G.1300ＣG,45.000,,210
